,商品id,标题,价格,店铺,品牌,图片,总评数,平均得分,好评数,默认好评,好评率,追评数,视频晒单数,差评数,中评数
20,100056884537,vivo Y78+ 8GB+128GB 天青色 旗舰级120Hz OLED曲面屏 5000万OIS光学防抖 5000mAh电池 5G 拍照 ,968.0,vivo京东自营官方旗舰店,vivo,//img12.360buyimg.com/n7/jfs/t1/242966/17/4611/71703/65d0e625F318f448a/047bef7dd3b79957.jpg.avif,50000,5,12000,50000,0.98,300,100,100,90
24,10075209536083,vivo S17 前置5000万广角柔光 后置智慧柔光环 1.5K超视网膜屏 5G 快充 拍照   山海青 12GB 256GB,2199.0,vivo官方旗舰店,vivo,//img13.360buyimg.com/n7/jfs/t1/149047/27/40377/59526/65d5a58dF69abcf44/75875707b8bf7dbe.png.avif,10000,5,2900,10000,0.97,100,50,30,20
25,100055622952,vivo Y35m 8GB+256GB 星光橙 5000mAh电池 闪耀外观 后置1300万影像系统 双模5G 全网通 老人 ,1499.0,vivo京东自营官方旗舰店,vivo,//img12.360buyimg.com/n7/jfs/t1/136215/29/42291/63717/65d0e625F1932887e/2dbba96bc9eb94c6.jpg.avif,5000,5,700,5000,0.96,6,9,10,9
26,100071649172,vivo Y100 8GB+128GB 琉云青 超薄5000mAh电池 6400万OIS光学防抖 44W超快闪充 5G 快充 拍照 ,1399.0,vivo京东自营官方旗舰店,vivo,//img12.360buyimg.com/n7/jfs/t1/233664/20/12847/69725/65d0e630Ffbeb3239/4ffd6c5f35f94487.jpg.avif,20000,5,1700,20000,0.97,60,30,20,20
27,100076016979,vivo S18e 12GB+512GB 星夜黑 7.69mm超薄直屏 80W 4800mAh超长续航 全新人像双补光环 5G 拍照 ,2299.0,vivo京东自营官方旗舰店,vivo,//img14.360buyimg.com/n7/jfs/t1/168695/5/42387/78330/65d0e641F598ec257/196158b676ff8298.jpg.avif,5000,5,1200,5000,0.98,30,20,7,10
28,100061826826,vivo iQOO Z8x 8GB+256GB 曜夜黑 6000mAh巨量电池 骁龙6Gen1 护眼LCD屏 大内存5G,1399.0,iQOO京东自营官方旗舰店,vivo,//img11.360buyimg.com/n7/jfs/t1/226236/25/13780/67858/65d30538F6009bfbc/8a06d8b84ae138a6.jpg.avif,100000,5,16000,50000,0.98,100,100,100,100
29,100087534863,vivo Y100t 8GB+256GB 远山青 120W超快闪充 天玑8200旗舰芯片 5000mAh电池 5G ,1499.0,vivo京东自营官方旗舰店,vivo,//img13.360buyimg.com/n7/jfs/t1/201888/10/32794/84585/65d6ebedF55cdaf88/0a46dc88a5915daf.jpg.avif,0,5,0,0,1.0,0,0,0,0
33,100060552821,vivo Y35 8GB+128GB 冰云蓝 5000mAh电池 闪耀外观 后置1300万影像系统 双模5G 全网通 老人 ,799.0,vivo京东自营官方旗舰店,vivo,//img11.360buyimg.com/n7/jfs/t1/119233/16/36728/115743/6481409fF15996f9a/e5effaba1a505dba.jpg.avif,2000,5,200,2000,0.98,2,3,1,2
34,100071837061,vivo Y55t 6GB+128GB 涟漪绿 5000万超清影像 200%大音量 5000mAh大电池 5G 拍照 ,899.0,vivo京东自营官方旗舰店,vivo,//img11.360buyimg.com/n7/jfs/t1/110361/2/40638/71522/65d0e634Fff741ff1/76d1c2aa0cde9130.jpg.avif,10000,5,1100,5000,0.97,20,20,8,10
35,10092675604080,vivo X100 新品5G拍照  蓝晶×天玑9300旗舰芯片  蔡司超级长焦 120W双芯闪充 星迹蓝 12GB+256GB,3999.0,京东电竞手机官方旗舰店,vivo,//img10.360buyimg.com/n7/jfs/t1/234323/30/10273/118293/6588fe10F2925d5b5/92413a1a2156842b.png.avif,2000,5,400,2000,0.96,7,4,10,7
36,10096542965375,vivo Y100t 120W超快闪充 天玑8200旗舰芯片 5000mAh电池 5G   远山青 12GB+256GB,1649.0,vivo官方旗舰店,vivo,//img10.360buyimg.com/n7/jfs/t1/136076/14/42665/65361/65d7fa68Fc54f5bb9/fd99b8020f172ef1.png.avif,0,5,0,0,1.0,0,0,0,0
37,10089881002701,vivoiQOO Neo8Pro 天玑9200+ 自研芯片V1+ 120W超快闪充5G游戏电竞  月瓷白丨Z8 8GB+256GB,1599.0,明染手机通讯专营店,vivo,//img11.360buyimg.com/n7/jfs/t1/232314/3/6500/58030/6572c0c6F43cdb89e/40136c158ddf2aa8.jpg.avif,4,5,3,1,1.0,0,0,0,0
38,10095818090432,vivo X100 Pro 蔡司APO超级长焦 蓝晶×天玑9300 5400mAh蓝海电池 拍照   可选 Y100丨星夜黑 8GB+128GB,1399.0,明染手机通讯专营店,vivo,//img12.360buyimg.com/n7/jfs/t1/242407/33/3661/38298/65a8eabeFa64c3227/2cdd094f1fc3687b.jpg.avif,3,5,2,1,1.0,1,0,0,0
39,100097290570,vivo S18 12GB+256GB 菱紫 后置影棚级柔光环 5000mAh超薄蓝海电池 第三代骁龙7 快充 拍照 ,2599.0,vivo京东自营官方旗舰店,vivo,//img10.360buyimg.com/n7/jfs/t1/210650/35/39391/91181/65d72563F5ff1e838/eb286e6a092f77a2.jpg.avif,20000,5,9900,20000,0.98,400,200,60,60
40,10094326349820,vivo iQOO Z8 120W超快闪充 5000mAh超长续航 天玑8200 新品5G全网通 iqooz8 z8x-月瓷白 8GB+256GB,1149.0,雅谜通讯专营店,vivo,//img10.360buyimg.com/n7/jfs/t1/166398/18/42345/35773/65212257F88502cb3/c2cdc09099f185e1.jpg.avif,100,5,20,98,0.95,0,2,0,1
41,10084095028876,vivo iQOO Z8 新品5G  月瓷白 12GB+512GB,1779.0,博恒聚优旗舰店,vivo,//img11.360buyimg.com/n7/jfs/t1/227385/24/13691/77037/65c09dd1Fe663c9f1/38517bb52a67e879.png.avif,1000,5,200,1000,0.98,3,4,3,1
42,10084098682723,vivo iQOO Z8x 新品上市 6000mAh长续航 高通第一代骁龙 6 零感蓝光原彩屏   8GB+256GB  曜夜黑 官方标配,1299.0,iQOO幸允专卖店,vivo,//img13.360buyimg.com/n7/jfs/t1/181019/40/42479/80006/6552091aFf8cbc076/dd8f19daebca3e04.jpg.avif,2000,5,400,1000,0.99,1,2,2,2
43,10088789673933,vivoiQOO Z8  新品5G  iqooz8 z7升级版z8 天玑8200 6400万主摄 120W闪充超快充5000mAh长续航 曜夜黑8+256GB全网通 官方标配,1469.0,vivo优浪专卖店,vivo,//img13.360buyimg.com/n7/jfs/t1/151912/28/34215/88464/65d470d6F1eb2ba1c/31e2000c3028a970.jpg.avif,200,5,20,200,1.0,0,0,0,0
44,10093612543571,vivo vivo X100 蓝晶×天玑9300 蓝海电池 蔡司超级长焦 120W双芯闪充 新品5G拍照  星夜黑丨Y100（骁龙695） 12GB+512GB,1849.0,图为手机专营店,vivo,//img11.360buyimg.com/n7/jfs/t1/232876/6/7508/56841/6576e124Fd505e02b/02d905a7b49cee37.jpg.avif,18,5,1,17,1.0,0,0,0,0
45,100080441226,vivo iQOO Neo9 Pro 12GB+256GB 格斗黑 天玑 9300 自研电竞芯片Q1 IMX920 索尼大底主摄 5G,2999.0,iQOO京东自营官方旗舰店,vivo,//img11.360buyimg.com/n7/jfs/t1/131457/4/41461/71041/65bb14b1F65a390e1/b9f27dada6bcd4b9.jpg.avif,20000,5,6300,20000,0.97,100,70,80,90
46,100059009031,vivo S17 12GB+256GB 花海 前置5000万广角柔光 后置智慧柔光环 1.5K超视网膜屏 5G 快充 拍照 ,2399.0,vivo京东自营官方旗舰店,vivo,//img11.360buyimg.com/n7/jfs/t1/145107/12/33416/36403/646ed5deFb68ee043/16e709e04fd30a29.jpg.avif,100000,5,21000,50000,0.97,800,500,200,100
47,10084097535665,	vivo iQOO Z8x  新品5G  月瓷白 8GB+128GB,1029.0,博恒聚优旗舰店,vivo,//img10.360buyimg.com/n7/jfs/t1/105128/33/47042/75054/65c09e05F846579c4/3ec4ea69bd0f1eb7.png.avif,2000,5,300,1000,0.96,6,1,6,5
48,10082409332970,	vivo Y85 全网通4G 双卡双待 刘海全面屏美颜拍照 智能  备用机 工作机 黑金 4G+64G 全网通（ 95新),198.0,倩倩数码二手手机专营店,vivo,//img10.360buyimg.com/n7/jfs/t1/102202/2/46056/46583/65bdaa3eF3b146d19/753933e5b207aac0.png.avif,1000,5,300,1000,0.96,20,10,4,7
49,10093866363501,vivo iQOO Neo9 第二代骁龙8旗舰芯 自研电竞芯片Q1 索尼大底主摄 5G游戏拍照  格斗黑 16+512GB 官方标配,2799.0,vivo优浪专卖店,vivo,//img11.360buyimg.com/n7/jfs/t1/230933/35/14221/435637/65d6ac15F63c4384e/2af674270f885e05.png.avif,100,5,40,78,0.98,2,0,1,0
50,10085735493446,vivo iQOO Z8x 新品5G  骁龙6Gen1 6000mAh大电池vivoiqooz8x 星野青 8GB+128GB 官方标配,1099.0,京东电竞手机官方旗舰店,vivo,//img11.360buyimg.com/n7/jfs/t1/237658/14/7867/62531/657d2488Fbd5c2226/f5022a8412386330.png.avif,2000,5,400,1000,0.98,10,7,5,3
