,商品id,标题,价格,店铺,品牌,图片,总评数,平均得分,好评数,默认好评,好评率,追评数,视频晒单数,差评数,中评数
218,10092008337083,小米Redmi 红米k70 第二代骁龙8 小米澎湃OS 第二代2K屏  5G智能学生  16G+512G 墨羽 【12期|免息】,3239.0,小米酷族专卖店,小米（MI）,//img13.360buyimg.com/n7/jfs/t1/156738/35/40127/105258/65ba0b5eF48f29e33/cdfd8afef29b0136.jpg.avif,200,5,200,200,1.0,7,20,0,0
219,100094047542,小米Xiaomi 14Ultra 徕卡光学Summilux镜头 大师人像 双向卫星通信 小米澎湃OS 16+512 黑色 5g,6999.0,小米京东自营旗舰店,小米（MI）,//img12.360buyimg.com/n7/jfs/t1/244943/13/4925/78509/65d75715F9f501da4/e9403f494ef232d8.jpg.avif,500,5,800,0,0.98,20,20,4,5
220,10090969102315,小米13 Ultra 5G 新品  骁龙8gen2 可选 Note 13 Pro子夜黑8GB+128GB,1699.0,明染手机通讯专营店,小米（MI）,//img10.360buyimg.com/n7/jfs/t1/233053/35/6633/42207/6572c0d2F061d2f23/f09eb22b548bc35f.jpg.avif,9,5,0,9,1.0,0,0,0,0
221,100087971292,Redmi 13C 5G 天玑 6100+ 性能芯 5000万超清双摄 5000mAh长续航 8GB+256GB 彩虹星纱 智能  小米红米,1049.0,京东手机自营旗舰店,小米（MI）,//img12.360buyimg.com/n7/jfs/t1/225790/8/10561/51154/659cfda5F4c1e93d6/fc61bfd0681ba0a3.jpg.avif,58,5,3,55,1.0,0,0,0,0
222,10092410347280,	小米13/13pro 徕卡光学镜头 第二代高通骁龙8 Gen2处理器窄边屏幕120Hz高刷 二手  小米13 pro【黑色】 8G+256G 99新,3008.0,唯尔优品二手商品专营店,小米（MI）,//img10.360buyimg.com/n7/jfs/t1/97199/23/37930/174158/65da2714Fa4694145/ebde3871a14e3d49.png.avif,1000,5,200,1000,0.98,10,10,1,2
223,10094240848423,小米13 新品5G  徕卡影像 旷野绿 8+256GB,2899.0,惠购数码经营部,小米（MI）,//img13.360buyimg.com/n7/jfs/t1/243649/37/243/19314/65850291F3534f69a/50e45995a48a1b01.jpg.avif,7,5,1,6,1.0,0,0,0,0
224,10067471147041,小米Redmi红米K60  5G  晴雪 12GB+256GB,2099.0,小米智选专卖店,小米（MI）,//img11.360buyimg.com/n7/jfs/t1/221881/2/33374/40494/65518069F213da9d1/867a6fd223449548.jpg.avif,10000,5,2000,5000,0.97,40,30,30,20
225,100047223321,小米 Redmi红米10A 5000mAh大电量 1300万AI相机 八核处理器 指纹解锁 4GB+64GB 暗影黑 智能  ,520.0,京东通信自营旗舰店,小米（MI）,//img11.360buyimg.com/n7/jfs/t1/137631/40/39552/57477/64f6eaa5F7406b808/19625123475ffcac.jpg.avif,1000,5,200,500,0.98,3,0,2,1
226,10061647682172,小米红米Redmi Note11 新品5G   浅梦星河 8GB+256GB 官方标配,858.0,小米智选专卖店,小米（MI）,//img12.360buyimg.com/n7/jfs/t1/111345/18/20583/73062/63a4103dE828322ac/cc5f9a099e5b5837.jpg.avif,10000,5,1600,10000,0.96,30,20,30,10
227,100070171997,小米（MI）Redmi Note13 1亿像素高清影像 5000mAh大电量 6GB+128GB 星沙白 红米 5G智能,913.0,中国移动京东自营官方旗舰店,小米（MI）,//img12.360buyimg.com/n7/jfs/t1/231377/3/11235/47280/65937ff6F035c6a11/c095aa998fbcf7a2.jpg.avif,200,5,60,200,1.0,0,0,0,0
228,10068145874005,小米【小米严选】Redmi 红米12C  5000万高清双摄 5000mAh长续航 熏衣紫 4+128GB,608.0,,小米（MI）,//img10.360buyimg.com/n7/jfs/t1/113584/34/35907/49659/64a3742dF2467a686/2721773512ae5555.jpg.avif,500,5,80,500,0.92,3,0,5,2
229,10092671028872,Redmi K70E 天玑8300-Ultra 澎湃OS 1.5K直屏小米红米K70E 5G新品  墨羽 12GB+512GB【官方标配】,2039.0,京东电竞手机官方旗舰店,小米（MI）,//img12.360buyimg.com/n7/jfs/t1/246724/25/4448/55658/65d41b1cFa3c141f2/b4c6e0a01c1e1862.jpg.avif,32,5,10,15,1.0,1,0,0,0
230,10078193392855,【现货速发】小米 红米Note12Pro 5G Redmi  镜瓷白 12GB+256GB 京喜,1999.0,小米智选专卖店,小米（MI）,//img10.360buyimg.com/n7/jfs/t1/91751/25/32201/57819/650950dbF47d357eb/3ccc9190ef98d2ac.jpg.avif,2000,5,300,2000,0.95,6,4,10,6
231,10085974600018,小米Redmi红米Note13Pro 智能5G  2亿像素 第二代1.5K高光屏 骁龙7s移动平台 子夜黑 8GB+128GB,1399.0,小米智选专卖店,小米（MI）,//img13.360buyimg.com/n7/jfs/t1/165087/28/40129/48287/65235665F6b1a5cbc/a74de48e5287e161.jpg.avif,2000,5,300,2000,0.97,4,4,2,6
232,10085973629086,小米 Redmi 红米Note13 5G  1亿像素 超细四窄边OLED直屏 5000mAh大电量 子夜黑 6GB+128GB,968.0,小米智选专卖店,小米（MI）,//img11.360buyimg.com/n7/jfs/t1/98566/19/45589/49497/650ce89aFe686511e/3e43f6baf3b549aa.jpg.avif,200,5,30,200,0.97,0,0,1,0
233,100044627385,小米 Civi 2 前置仿生双主摄 后置5000万超清三摄 骁龙7 Gen1 液冷散热技术 120Hz 5G  8GB+256GB 小白裙,1533.0,京东手机自营旗舰店,小米（MI）,//img10.360buyimg.com/n7/jfs/t1/111064/31/41439/41418/6497a251F0d4c479f/40779c51fae28300.jpg.avif,10000,5,2600,10000,0.96,50,40,50,40
234,10086552608922,小米（MI）redmi 12r 红米12R高刷大屏长续航全网通5G5Ah 烟青绿 曜石黑 4GB+128GB,604.0,众之恒数码通讯手机小店,小米（MI）,//img12.360buyimg.com/n7/jfs/t1/230230/11/1726/59794/65462842Fa26fb7b3/12bc800a6a297a78.jpg.avif,200,5,30,200,0.97,0,1,1,0
235,10088184447705,小米14 Pro 【店内有售】红米 Note 12 Turbo 5G 第二代骁龙7+ 现货当天发 冰羽白 12GB+256GB,2099.0,荷尔手机专营店,小米（MI）,//img10.360buyimg.com/n7/jfs/t1/186495/39/42542/48364/65570147Fa7d32ff7/db04362722803f1c.jpg.avif,61,5,10,45,1.0,0,1,0,0
236,10089255421017,小米14Pro  5G  Xiaomi 14 Pro 小米澎湃OS 黑色 16GB+512GB【官方标配】,5499.0,小米优选专卖店,小米（MI）,//img12.360buyimg.com/n7/jfs/t1/101267/40/46702/142629/65cd9083F286ee0bb/9a60099dd2fd9269.jpg.avif,500,5,300,200,0.99,20,50,2,1
237,100061265460,小米Redmi Note 12R 智能游戏拍照5G红米 5000mAh大电池 第二代骁龙4芯片 天空幻境 4GB+128G,699.0,京东手机运营商自营旗舰店,小米（MI）,//img10.360buyimg.com/n7/jfs/t1/233463/24/3599/49847/655f04eaF4d486a95/1ebc3f10d37ce795.jpg.avif,1000,5,100,1000,0.94,4,2,6,3
238,10082634865611,小米 Redmi 红米note12tpro 新品5G  晴海蓝 12+256GB 全网通,1349.0,炜东电商旗舰店,小米（MI）,//img11.360buyimg.com/n7/jfs/t1/240191/18/4521/80783/65c391d0F393de590/174a54865ab5ffa8.jpg.avif,2000,5,400,2000,0.97,3,1,7,3
239,10086550026366,小米Redmi 红米note13 新品上市5G  时光蓝 6GB+128GB,938.0,易橙手机通讯专营店,小米（MI）,//img11.360buyimg.com/n7/jfs/t1/119784/26/39329/34853/650bf9d7F04c3dda8/0eb43bc732adf4f4.png.avif,500,5,70,500,0.93,2,1,3,2
240,10094047749390,小米 Redmi 红米 K70 Pro 第三代骁龙8 第二代2K屏 小米红米k70pro新品 至尊 墨羽丨K70E【天玑8300-Ultra】 12GB+256GB,1999.0,图为手机专营店,小米（MI）,//img10.360buyimg.com/n7/jfs/t1/230755/5/9339/24867/658164b2F2b9f075e/ef80f9e4013b81da.jpg.avif,5,5,0,5,1.0,0,0,0,0
241,10096464023494,	xiaomi 小米12s 骁龙8+处理器 徕卡光学镜头 120Hz 8+256G蓝色 二手 99新 白色 8G+128G 99新,1529.0,三盛数码二手手机专营店,小米（MI）,//img14.360buyimg.com/n7/jfs/t1/97438/16/44977/384375/65d890feFdf52034c/15cf0126a52a7fc7.png.avif,200,5,60,200,0.98,3,0,0,1
242,10072041219794,小米红米Redmi Note11  5G   浅梦星河 8GB+256GB 6期分期0手续费,1249.0,小米智选专卖店,小米（MI）,//img14.360buyimg.com/n7/jfs/t1/111345/18/20583/73062/63a4103dE828322ac/cc5f9a099e5b5837.jpg.avif,10000,5,1600,10000,0.96,30,20,30,10
244,10072022562004,小米【小米严选】红米12C   深海蓝 4+64GB,523.0,小米严选专卖店,小米（MI）,//img14.360buyimg.com/n7/jfs/t1/131280/20/40977/55092/65cece3fFe28854fc/23c427f385298036.jpg.avif,2000,5,500,2000,0.99,7,0,3,0
245,100061829122,小米（MI）Redmi 12 5G 骁龙4第二代 双面玻璃机身 5000mAh大电量 6GB+128GB 星岩灰 智能  小米红米,949.0,小米京东自营旗舰店,小米（MI）,//img12.360buyimg.com/n7/jfs/t1/107526/31/24063/46803/65aa5628Fdc885541/91dadb5727fc1c99.jpg.avif,20000,5,4300,20000,0.98,80,50,50,30
246,10091090921283,小米新品现货 小米（MI）Xiaomi 14 5G全网通 第三代骁龙8移动平台 徕卡三摄 年度旗舰  黑色【小米13】 8GB+256GB,3018.0,沪淼手机通讯专营店,小米（MI）,//img13.360buyimg.com/n7/jfs/t1/190259/12/44086/15265/6550e074Ff5fbfb0b/48b1380dd3f63800.jpg.avif,0,5,0,0,1.0,0,0,0,0
247,10095425239270,小米（MI）Redmi K70 新品  120W+5000mAh 第二代骁龙8 澎湃OS系统  至尊 小米红米 晴雪丨K70E【天玑8300-Ultra】 12GB+256GB,1999.0,赋一手机专营店,小米（MI）,//img10.360buyimg.com/n7/jfs/t1/96959/11/41777/22582/659fc561F3e7aef48/8ff7348785a334a3.jpg.avif,2,5,0,2,1.0,0,0,0,0
248,10077840758420,小米红米Redmi Note11R 红米note11R 6.58英寸 5G 小米  神秘黑境 4+128G 套装一：搭配365天店铺延保,599.0,京联数科旗舰店,小米（MI）,//img10.360buyimg.com/n7/jfs/t1/238360/30/12010/110311/65b85ad6Fc44bb31e/7f435e6ee318582e.jpg.avif,200,5,20,200,1.0,1,0,0,0
249,10074347536342,【现货速发】小米Redmi Note12 Turbo红米5G 第二代骁龙7+ OLED直屏 冰羽白【16+1TB】 6期分期0手续费,2399.0,小米智选专卖店,小米（MI）,//img12.360buyimg.com/n7/jfs/t1/72957/10/25383/68526/647ee402F7370e572/ca1806d6a17ca700.jpg.avif,2000,5,700,2000,0.97,20,20,10,7
250,10067483409555,	xiaomi 小米12x 立体声双扬声器 5G 二手  120Hz高刷紫色 骁龙8 99新 小米12x【黑色】 8G+128G (5G) 95新,1149.0,三盛数码二手手机专营店,小米（MI）,//img10.360buyimg.com/n7/jfs/t1/180688/14/43541/373358/65d890faF974bfec1/6ff8fcb7fc010d34.png.avif,200,5,30,200,0.97,2,1,1,0
251,10089192704810,小米Redmi K60 5G  骁龙8+处理器 2K高光屏 6400万超清相机 5500mAh 墨羽 K60E (12+512G),1999.0,军超手机专营店,小米（MI）,//img10.360buyimg.com/n7/jfs/t1/233569/13/554/40691/65379c30Fe5f35e4e/3448e1575626d7bb.jpg.avif,19,4,2,16,0.66,0,0,1,0
252,10064767212179,	xiaomi 红米Note9Pro 5G 一亿像素 120Hz刷新率 骁龙750G 二手小米 95新 静默星空 8G+128G 95新,589.0,三盛数码二手手机专营店,小米（MI）,//img14.360buyimg.com/n7/jfs/t1/240669/11/4217/389171/65d89101Fe5507e24/c5a428684db95a94.png.avif,1000,5,300,1000,0.96,10,7,9,5
253,10067564082104,小米 红米K60E 5G  晴雪 12GB+512GB,1798.0,耐谷手机旗舰店,小米（MI）,//img14.360buyimg.com/n7/jfs/t1/195070/26/30138/32075/63aaeb36F81b806d3/c90bf260b9cd9a6c.png.avif,2000,5,400,1000,0.96,10,10,10,3
254,10094836377163,小米12S Pro 骁龙8+ 徕卡专业光学镜头 全新5G智能  另选12Pro 【小米12 Pro】原野绿 8GB+128GB,2489.0,华汇丰手机小店,小米（MI）,//img13.360buyimg.com/n7/jfs/t1/225826/38/10377/76436/659393f1Fd6141441/e399c3eca8c27eab.jpg.avif,47,5,10,32,1.0,2,0,0,0
255,10096187689796,小米Redmi 红米note13Pro  5G 超级快充 红色 8GB+128GB,1398.0,易橙手机通讯专营店,小米（MI）,//img11.360buyimg.com/n7/jfs/t1/230634/36/13368/56835/65b1c8bfF05351311/5aeee401c6c17bd9.jpg.avif,61,5,8,53,1.0,0,0,0,0
256,10042393336537,	小米11 二手5G  骁龙888 2K AMOLED四曲面柔性屏 1亿像素 黑色【赠3C认证快充】 8GB+128GB（5G版）95新,948.0,慧耀二手商品专营店,小米（MI）,//img12.360buyimg.com/n7/jfs/t1/94616/18/47766/113473/65da1d64F22176695/f0b758dd6718eaf9.jpg.avif,2000,5,1000,2000,0.92,40,30,50,20
257,10096008824956,小米Redmi 13R 小米红米5G智能  紫色 4GB+128GB,688.0,众盛环中手机店,小米（MI）,//img11.360buyimg.com/n7/jfs/t1/232394/26/12345/41240/65ad12d5F54115fd6/bcdea7e1b92b74ed.jpg.avif,7,5,1,6,1.0,0,0,0,0
258,10086554268186,小米 Redmi 红米Note13 5G 全新体验小金刚 小米新品  星沙白 6GB+128GB,1199.0,小米魅立专卖店,小米（MI）,//img11.360buyimg.com/n7/jfs/t1/203366/4/35450/28773/650c32d0F28d2650d/a31ca18ba75736f6.jpg.avif,200,5,80,200,0.98,2,2,0,1
259,10091899814609,	小米 Redmi 红米9A 全网通4G全面屏  5000mAh大电量 安卓智能老人 大音量备用机 晴空蓝 4GB+64GB,488.0,莱米手机专营店,小米（MI）,//img14.360buyimg.com/n7/jfs/t1/231375/13/3473/31788/655cc3b9Feaaed3fb/93c5735a33f5a2d9.jpg.avif,22,5,3,19,1.0,0,0,0,0
260,100072914579,小米  Redmi红米9A 红米  智能学生机老人机 备用  5000mAh大电量 4GB+64G 晴空蓝,458.0,京东通信自营旗舰店,小米（MI）,//img14.360buyimg.com/n7/jfs/t1/234623/9/735/52065/653879d8F00b31f1d/bdbefae16195ccb4.jpg.avif,200,5,100,200,0.98,1,1,2,0
261,10094211276016,	xiaomi 小米13 13pro 徕卡 第二代骁龙8 120Hz 8+256G白色 二手 99新 小米13Pro【陶瓷白】 12G+256G 99新,3139.0,三盛数码二手手机专营店,小米（MI）,//img11.360buyimg.com/n7/jfs/t1/224090/36/13194/359913/65d89109F02c9c2cc/78735148133657e3.png.avif,200,5,40,200,0.98,1,1,0,1
262,10092658449395,小米（MI）Redmi note12 Turbo 红米  第二代骁龙7+ 超细四窄边OLED直屏 碳纤黑【note12T Pro】 12GB+256GB,1398.0,沪淼手机通讯专营店,小米（MI）,//img10.360buyimg.com/n7/jfs/t1/230526/17/5482/51622/656979c3Fc2dfdfcf/c9ebe083103758d7.jpg.avif,47,5,5,42,1.0,0,0,0,0
263,10071452726473,小米Redmi 红米note12turbo 新品5G  红米note12turbo第二代骁龙7+ 碳纤黑 12+256G 套装一：享365天店铺延保,1569.0,京联数科旗舰店,小米（MI）,//img13.360buyimg.com/n7/jfs/t1/233381/17/10953/110292/65bb6f46F92d6c0d3/857a018a99bdd9c1.jpg.avif,2000,5,900,1000,0.99,40,10,4,3
264,10092150547139,小米（MI）【小米精选】小米 Redmi K70 小米  红米  5G  红米 K70 16+256 白色 官方标配,2699.0,小米精选专卖店,小米（MI）,//img14.360buyimg.com/n7/jfs/t1/224047/4/4995/26696/6567384fFc00f9f27/9ab878ca48a9dfd0.png.avif,1000,5,500,200,0.98,30,10,2,4
265,10090182349614,小米（MI）Redmi 红米12R 骁龙5G性能芯 旗舰级双面玻璃机身 新品5G智能 小米红米 烟青绿 4GB+128GB,678.0,利达手机专营店,小米（MI）,//img14.360buyimg.com/n7/jfs/t1/107996/16/40942/38655/6545137aFdcdf1566/8c5b75cb9530056b.jpg.avif,7,5,1,6,1.0,0,0,0,0
266,10096530976560,小米红米Redmi Note 12R 5G 大电池老人学生高性价比 子夜黑 4GB+128GB,688.0,易橙手机通讯专营店,小米（MI）,//img10.360buyimg.com/n7/jfs/t1/235646/24/13692/69049/65cec4d2Faa4ac0a7/36bad78f7ecbeb6f.png.avif,3,5,1,2,1.0,0,0,0,0
267,10088654345784,	小米Redmi 红米12C 全网通智能  熏衣紫 4+64GB,555.0,博恒聚优旗舰店,小米（MI）,//img14.360buyimg.com/n7/jfs/t1/248051/39/3750/55806/65af7dc7F8e7a9245/8946bb256dd3e452.jpg.avif,500,5,100,500,0.97,1,1,1,2
268,10067138871515,小米 MIX FOLD 2 轻薄折叠屏 5G  12+256GB月光银,5533.0,茄子手机旗舰店,小米（MI）,//img10.360buyimg.com/n7/jfs/t1/222839/8/18961/81834/6395ec58E4d3ca1ae/8f45e56e62c8847c.jpg.avif,500,5,60,200,0.92,2,5,4,2
269,10085976605510,小米 Redmi Note13 红米note13 5G  红米  小米  子夜黑 5G全网通 6+128GB,979.0,京联数科旗舰店,小米（MI）,//img10.360buyimg.com/n7/jfs/t1/209425/3/31637/95230/65b0c629F36cafb32/6e43918eccb07c4b.jpg.avif,92,5,8,83,0.88,0,0,1,0
270,10092175046231,小米红米redmi12R骁龙5G高刷大屏长续航第二代骁龙4 4GB+128GB 烟青绿,609.0,良能数码拼购店,小米（MI）,//img11.360buyimg.com/n7/jfs/t1/224233/29/4674/66346/65613c96F0e702425/535113c9015be6b2.png.avif,6,5,0,6,1.0,0,0,0,0
271,10072490829301,	Redmi 红米K30 Pro 5G  骁龙865 游戏拍照 二手小米 6400万高清四摄 95新 太空灰 8+128G 95新,699.0,三盛数码二手手机专营店,小米（MI）,//img11.360buyimg.com/n7/jfs/t1/137195/15/41269/565589/65d89103F1c8ba7ac/a482c72ac272b1d1.png.avif,500,5,100,200,0.96,6,3,2,2
272,10085973629090,小米 Redmi 红米Note13 5G  1亿像素 超细四窄边OLED直屏 5000mAh大电量 星沙白 6GB+128GB,968.0,小米智选专卖店,小米（MI）,//img10.360buyimg.com/n7/jfs/t1/100838/33/39307/53269/650ce8afFa9216742/17250c791da92e22.jpg.avif,200,5,30,200,0.97,0,0,1,0
273,10092110012322,小米红米 note12 Turbo 5G通 6400万像素 可选note12 【note12】镜瓷白 8GB+128GB,1258.0,传泽手机专营店,小米（MI）,//img12.360buyimg.com/n7/jfs/t1/225195/29/4682/34289/656037d4F1d306151/61f98a8f5a596759.jpg.avif,4,5,0,4,1.0,0,0,0,0
274,10076744198166,小米小米  红米k60 骁龙8+处理器2K高光屏 小米k60 红米 5G  幽芒 16+256G 套装一：享365天店铺延保,2099.0,京联数科旗舰店,小米（MI）,//img11.360buyimg.com/n7/jfs/t1/101791/35/38758/103492/65b86a1aFaa8c4b08/b46cb3f2de825c45.jpg.avif,1000,5,200,1000,0.99,5,1,1,1
275,10053624551225,	小米（MI）小米12S 12S Pro 12S Ultra  二手  5G拍照游戏  99新 黑色【小米12S】 8GB+128GB 【赠超级快充】 99新,1525.0,京采二手手机专营店,小米（MI）,//img10.360buyimg.com/n7/jfs/t1/134616/35/37034/67613/65da2c97F89cb2e63/546b986679e0cf85.jpg.avif,500,5,200,500,0.97,10,8,2,4
276,10094110869139,	XIAOMI 小米12Pro 骁龙8 Gen1 黑色 12G+256G 二手   99新 原野绿 8G+256G (5G) 99新,1589.0,三盛数码二手手机专营店,小米（MI）,//img14.360buyimg.com/n7/jfs/t1/178171/38/43478/431842/65d89104Fb13f8146/b91b06d82eaaea23.png.avif,500,5,100,500,0.98,4,3,2,0
277,10088510286538,小米小米Redmi Note13Pro+ 新2亿像素 红米note13pro+第二代1.5K高光屏 IP68防尘防水 红米  子夜黑 16+512GB 官方标配+90天碎屏险,1999.0,小米维丰专卖店,小米（MI）,//img13.360buyimg.com/n7/jfs/t1/238526/12/5226/86790/65d6f92fFaff78a63/03fa6b89f88c4612.jpg.avif,14,5,2,12,1.0,0,0,0,0
278,10089389536817,小米14 徕卡镜头 光影猎人900定制影像传感器第三代骁龙8处理器1.5K OLED直屏5G智能  雪山粉（科技纳米皮） 16GB+1TB,4999.0,小米手机官方旗舰店,小米（MI）,//img12.360buyimg.com/n7/jfs/t1/108248/38/21662/119533/65d168b5F20b1b18a/17c8aa41b98303bb.jpg.avif,20000,5,6600,10000,0.98,200,100,70,40
282,10058837908713,	小米8 小米8se 全面屏8G通4G骁龙 二手  9新 金色 6G+128G颜色随机,400.0,果珺二手手机专营店,小米（MI）,//img13.360buyimg.com/n7/jfs/t1/124656/16/29723/77805/6301dd90Ef9961b77/10765c274ee1c34a.png.avif,100,5,20,100,0.87,1,1,1,2
283,10071291107735,小米红米note12 新品5G 千元高性价比 redmi 子夜黑 8GB+256GB,998.0,易橙手机通讯专营店,小米（MI）,//img10.360buyimg.com/n7/jfs/t1/176853/26/33791/43309/6417cdabFb5ba073c/9e2a4871ab778506.png.avif,2000,5,400,2000,0.97,20,7,7,4
284,10064397028794,	xiaomi 小米10S 5G 骁龙870 拍照游戏二手  白色 哈曼卡顿对称式双扬立体声 99新 黑色 12G+256G (5G) 95新,1129.0,三盛数码二手手机专营店,小米（MI）,//img14.360buyimg.com/n7/jfs/t1/177751/39/43129/439612/65d89107F86035036/2db7e134da2ba71c.png.avif,2000,5,900,2000,0.96,40,30,10,10
285,10092318706611,	小米 红米Redmi Note7Pro 二手 水滴屏拍照游戏AI双摄 亮黑色【赠配件大礼包】 6GB+128GB 95新,399.0,禹凡优品二手手机专营店,小米（MI）,//img11.360buyimg.com/n7/jfs/t1/208931/3/39538/345424/65d18cc1F29774a0a/bd9ea594e4a34578.png.avif,1000,5,100,1000,1.0,1,1,0,0
286,10073326134492,	小米13 小米13Pro 二手  徕卡光学镜头 第二代骁龙8 120Hz高刷超窄边全面屏 小米13Pro【旷野绿】 8+256G 99新,3095.0,满天星二手手机专营店,小米（MI）,//img12.360buyimg.com/n7/jfs/t1/240827/4/4759/196844/65da1948F445ff7fa/de68e0110ee4309e.png.avif,92,5,20,67,1.0,0,2,0,0
287,10086780993738,小米Redmi红米Note13  5G  小米红米  星沙白【6期|免息】 6GB+128GB,1199.0,小米优选专卖店,小米（MI）,//img13.360buyimg.com/n7/jfs/t1/209658/9/34491/62491/6576cde3F845723ac/6a72c4348a381da5.jpg.avif,1000,5,200,500,0.97,7,5,4,3
291,10077061742983,	小米 红米K30/K30pro 4G/5G版 二手  骁龙730 6400像素 95新 颜色随机 紫玉幻境(颜色随机) K30 6GB 128GB（4G）颜色随机 95新,480.0,果珺二手手机专营店,小米（MI）,//img13.360buyimg.com/n7/jfs/t1/223630/26/20687/30848/6475cb19F6e6403bc/35e0126400c8c508.png.avif,93,5,20,73,1.0,0,0,0,0
292,10042347445352,	小米Redmi 红米 9A 二手  5000mAh大电量 八核处理器人脸解锁 备用机 砂石黑 4GB+64GB  95新,336.0,慧耀二手商品专营店,小米（MI）,//img12.360buyimg.com/n7/jfs/t1/175411/6/37752/119928/65da1d64Fb9a6ec14/ce708957641b5583.jpg.avif,500,5,300,200,0.97,6,5,2,6
293,10020492340073,	小米（MI）小米6X   二手游戏  4G全网通   5.99全面屏AI双摄 曜石黑 4G+64G   9成新,288.0,唯尔优品二手商品专营店,小米（MI）,//img13.360buyimg.com/n7/jfs/t1/249026/21/4785/93394/65da26e7F155e61b0/1ec2638bbd8ac5f2.jpg.avif,5000,5,1600,5000,0.93,50,30,70,30
294,10083265615586,	小米 红米 Note 10 Pro 5G 二手  天玑1100 120Hz高刷全面屏拍照游戏  月魄 6GB+128GB  95成新,658.0,唯尔优品二手商品专营店,小米（MI）,//img11.360buyimg.com/n7/jfs/t1/243994/23/4594/296216/65da2718F573942cd/3f24440d4ed6b781.png.avif,100,5,20,83,1.0,0,0,0,0
295,10089923096804,【现货当天发】小米14 5G 光影猎人900徕卡光学镜头 骁龙8Gen3 岩石青 8+256GB全网通,3749.0,优选自有手机经营部,小米（MI）,//img14.360buyimg.com/n7/jfs/t1/226484/37/6037/137109/656ca9d5F8094b51a/f1958f3cacdaf220.png.avif,200,5,100,200,0.98,7,3,2,0
296,10061689520783,小米 Redmi  Note11 5G  天玑810  5000mAh大电池 微光晴蓝 8GB+256GB,848.0,小米优选专卖店,小米（MI）,//img13.360buyimg.com/n7/jfs/t1/223808/13/28295/79037/65d2c8d2F3c7065b9/bbafdd108e1e3345.jpg.avif,10000,5,2000,10000,0.95,30,40,60,20
297,10096800819593,小米14 新款5G  黑色 12+256GB 全网通,4299.0,小米新境界专卖店,小米（MI）,//img13.360buyimg.com/n7/jfs/t1/246186/25/4915/315737/65d8d26aF5a79f90c/9552984b08dbf06f.png.avif,0,5,0,0,1.0,0,0,0,0
298,10037033179645,	【二手95新】小米 红米 Redmi  Note7小金刚  4G+全网通 梦幻蓝 4GB +64GB颜色随机发,288.0,果珺二手手机专营店,小米（MI）,//img10.360buyimg.com/n7/jfs/t1/85368/34/19445/693241/613ebf78Ed51263b0/82c279f51d763fcc.png.avif,52,5,10,42,1.0,0,1,0,0
299,10090514576139,	小米12S / 12S Pro 二手  骁龙8+ 徕卡专业光学镜头 拍照游戏  5G全网通 白色 小米12s 8GB+128GB 99新,1558.0,唯尔优品二手商品专营店,小米（MI）,//img14.360buyimg.com/n7/jfs/t1/99379/6/21556/267286/65da2718Fa635f8ac/e0bcf88560b2bd95.png.avif,500,5,100,200,0.96,2,6,4,1
300,10030407084512,	小米 MIXFOLD 小米折叠屏 二手  5G 2K+折叠屏 骁龙888  95新 黑色【建议购买碎屏险】 黑色12GB+512GB,2805.0,凯旋通二手手机专营店,小米（MI）,//img12.360buyimg.com/n7/jfs/t1/108396/29/39841/100377/65c337deF69624786/06722bb31fa1877e.png.avif,1000,5,400,1000,0.96,20,10,10,6
301,10080467130626,	小米 红米 Redmi Note9 二手 4G 6000mAh大电池 骁龙662处理器 安卓  羽墨黑 4GB+128GB 95新,373.0,鑫盛二手手机专营店,小米（MI）,//img11.360buyimg.com/n7/jfs/t1/241631/38/2476/318471/65ca5a1eFdc0661e2/cf09fb27c782cd01.png.avif,60,4,3,55,0.6,0,0,1,1
302,10096559868985,小米14ultra至尊版  5G  小米双向卫星通信  白色 16G+1TB【官方标配】,7799.0,小米礼象专卖店,小米（MI）,//img10.360buyimg.com/n7/jfs/t1/172973/19/42428/146865/65d84412F05197f47/9ba14b18baac3977.jpg.avif,0,5,0,0,1.0,0,0,0,0
303,10096594012731,小米小米Redmi 红米Note12R 全网通5G 智能  5000mAh大电池 第二代骁龙4芯片 子夜黑,699.0,,小米（MI）,//img11.360buyimg.com/n7/jfs/t1/91752/39/47237/26849/65d2e20fFc121a4e8/483ee7a696b1692a.jpg.avif,0,5,0,0,1.0,0,0,0,0
304,10031359555745,	小米 红米K40游戏增强版 二手  天玑1200 6nm旗舰处理器 95新 银翼 8GB+128GB【送3c闪充】,875.0,凯旋通二手手机专营店,小米（MI）,//img10.360buyimg.com/n7/jfs/t1/116462/18/43747/539918/65bdfc51F8876e2e9/976463e62d470e4a.png.avif,500,5,100,500,0.94,10,4,8,4
305,10067058879953,	Redmi 红米K30至尊纪念版 5G天玑1000plus旗舰芯片 月幕白120Hz高刷 95成新 薄荷绿 8G+128G (5G) 95新,659.0,三盛数码二手手机专营店,小米（MI）,//img13.360buyimg.com/n7/jfs/t1/114277/19/43538/562540/64f03377F2630c7b5/82cd25f510396a1b.png.avif,200,5,70,200,0.97,1,3,0,2
